Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Germany,0.99,-0.751,-1.085,-0.33,-0.815,0.406,0.868,0.204,-0.11,-0.831,0.034,-0.014,0.188,0.318,1.098,0.468,0.28,-0.176,-0.643,-0.19,0.293,0.436,1.067,-0.115,-0.804,-0.011,-0.565,0.887,1.484,1.565,0.279,1.22,0.304,1.618,1.301,-0.706,0.551,1.146,1.36,1.755,1.281,1.478,1.248,0.988,1.015,1.248,2.08,1.532,1.27,0.182,1.108,1.338,0.571,2.506,1.658,1.971,1.636,2.377,2.314,2.499,1.304
Greece,0.472,0.609,0.296,-0.312,-0.333,0.778,-0.209,0.172,-0.099,0.255,-0.235,-0.196,-0.374,-0.208,-0.266,-0.921,0.325,-0.565,0.171,-0.389,-0.203,-0.25,-0.502,-0.135,-0.077,0.296,-0.405,0.118,-0.217,0.34,-0.218,-0.548,-0.341,1.052,-0.045,-0.169,-0.204,0.622,0.788,0.667,1.298,0.415,0.377,0.327,0.209,0.247,1.068,0.872,0.758,1.551,0.365,1.21,1.3,1.028,0.889,1.584,0.65,1.903,1.406,1.366,1.722
Holy See,0.721,0.094,-0.135,0.197,-0.405,0.277,0.172,0.059,0.01,-0.146,-0.251,-0.181,-0.007,-0.27,-0.212,-0.483,0.24,-0.637,0.066,-0.59,-0.522,0.526,0.185,-0.581,0.237,0.57,0.158,0.717,0.08,1.053,-0.101,0.444,0.401,1.399,0.125,0.291,0.788,0.879,0.733,1.139,1.396,0.636,1.396,0.395,0.328,0.503,1.223,0.869,0.915,0.662,0.914,1.404,0.765,1.239,1.375,1.454,1.203,1.765,1.46,1.54,1.306
Hungary,1.186,-0.415,-0.459,-0.876,-0.883,0.756,0.599,0.389,-0.271,-0.503,-0.059,0.397,-0.026,0.268,0.863,-0.267,0.554,-0.864,0.055,-0.611,0.154,0.112,0.999,-0.126,-1.056,0.37,-0.531,0.401,0.881,1.088,-0.041,0.921,0.085,1.766,0.645,-0.325,-0.13,1.099,0.62,1.753,1.41,1.442,0.732,0.572,0.258,0.722,2.165,1.52,1.637,0.83,0.915,1.751,1.18,2.232,2.092,1.923,1.373,2.565,2.393,2.034,1.482
Iceland,0.539,-0.282,-0.093,1.1,-0.134,-0.53,-0.631,-0.671,-0.939,-0.66,0.02,0.81,-0.068,0.552,-0.383,0.428,-0.234,0.051,-1.302,0.327,-0.978,-0.323,-0.895,0.178,0.15,-0.093,0.68,-0.097,-0.19,0.148,0.753,0.209,0.201,-0.121,-0.352,0.541,0.412,0.217,0.481,0.309,0.618,0.821,1.844,1.292,0.509,1.089,1.155,0.806,0.965,1.218,1.026,0.748,0.776,1.737,0.494,1.485,1.77,0.892,1.396,0.851,0.993
Ireland,0.262,-0.69,-0.776,0.154,-0.558,-0.037,-0.013,0.06,-0.282,0.045,0.328,-0.282,0.347,-0.226,0.693,0.546,-0.297,0.239,-0.705,-0.076,0.355,0.133,0.384,0.318,-0.454,-0.741,-0.161,0.231,1.028,0.803,0.179,0.429,0.047,0.265,1.179,-0.024,0.96,0.92,1.054,0.548,0.529,0.809,1.006,0.878,1.162,1.157,1.355,0.858,0.824,-0.086,0.576,0.715,0.584,1.424,0.51,1.098,1.318,0.834,1.248,1.117,1.057
Italy,0.809,0.036,-0.356,0.142,-0.425,0.311,0.303,0.016,-0.104,-0.155,-0.154,-0.139,0.033,-0.123,0.061,-0.332,0.276,-0.545,0.01,-0.435,-0.291,0.502,0.377,-0.468,0.115,0.439,0.183,0.824,0.398,1.112,0.002,0.512,0.498,1.495,0.395,0.211,0.907,0.939,0.889,1.217,1.503,0.884,1.497,0.718,0.528,0.808,1.519,1.089,1.182,0.696,1.2,1.486,0.946,1.573,1.647,1.649,1.559,1.792,1.639,1.825,1.478
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.567,0.375,0.668,1.603,-0.434,0.746,0.637,1.538,1.997,1.806,1.705,0.227,0.996,1.329,1.058,2.175,2.375,1.499,0.665,1.118,1.369,1.046,2.284,2.126,1.905,1.469,2.324,2.428,3.513,1.938
Liechtenstein,1.057,-0.484,-0.775,0.06,-0.834,0.414,0.549,0.018,-0.012,-0.55,-0.073,0.076,-0.028,0.173,0.676,0.288,0.267,-0.36,-0.088,-0.166,0.043,0.546,0.948,-0.365,-0.329,0.387,-0.04,0.933,1.09,1.31,0.184,1.086,0.632,1.925,0.899,-0.034,0.94,1.202,0.966,1.449,1.43,1.381,1.672,0.896,0.661,0.96,1.935,1.39,1.404,0.475,1.653,1.607,0.92,2.239,2.043,2.022,1.782,2.252,2.054,2.352,1.202
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.482,0.295,0.943,1.511,-0.522,0.519,0.738,1.484,2.019,1.798,1.908,0.173,0.869,1.195,0.91,2.182,2.21,1.385,0.723,0.914,1.323,0.926,2.196,2.063,1.913,1.511,2.395,2.601,3.394,1.737
